id,x,y,z,weight,selected
p00,10.4720007,11.7869238,8.8545052,1,1
p01,11.9079480,9.8392093,8.8424427,1,1
p02,10.5512233,7.8371993,8.9255119,1,1
p03,8.4479833,8.7955253,8.2087343,1,1
p04,8.4093929,10.7198735,8.1741424,1,1
p05,10.5359454,9.7874177,7.4930243,1,1
p06,11.2253959,10.8262064,10.9437925,1,1
p07,11.2639905,8.9018362,10.9783886,1,1
p08,9.2013928,7.8347986,10.2980244,1,1
p09,7.7654240,9.7824888,10.3101006,1,1
p10,9.1374074,9.8342810,11.6595050,1,1
p11,9.1221726,11.7845187,10.2270133,1,1
p12,10.5988941,11.9723202,10.3296560,1,0
p13,10.6843782,7.7102076,10.4062745,1,0
p14,9.1092787,9.7549102,7.2766391,1,0
p15,10.5640929,9.8668190,11.8758569,1,0
p16,8.9890196,11.9114982,8.7462691,1,0
p17,8.3645136,8.6791659,11.1165133,1,0
p18,8.3192224,10.9372245,11.0759053,1,0
p19,7.5253867,9.7520983,8.8871797,1,0
p20,11.3088605,10.9425242,8.0360367,1,0
p21,9.0745044,7.6494258,8.8228924,1,0
p22,11.3541666,8.6844962,8.0766268,1,0
p23,12.1480054,9.8696312,10.2653649,1,0
