         1051031 function calls (1050813 primitive calls) in 0.473 seconds

   Ordered by: cumulative time
   List reduced from 238 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.476    0.476 analysis.py:22(analyze)
        9    0.000    0.000    0.367    0.041 __init__.py:27(laplacian)
        9    0.001    0.000    0.367    0.041 interaction.py:149(laplacian)
        9    0.000    0.000    0.366    0.041 interaction.py:103(_spectrum)
        9    0.001    0.000    0.263    0.029 _spectral.py:19(solve_symmetric)
        9    0.247    0.027    0.247    0.027 linalg.py:1090(eigvalsh)
        4    0.000    0.000    0.109    0.027 interaction.py:68(persistence)
        4    0.001    0.000    0.109    0.027 persistence.py:102(compute_persistence)
       20    0.000    0.000    0.107    0.005 persistence.py:128(<genexpr>)
       16    0.000    0.000    0.107    0.007 persistence.py:75(_reduce_boundary)
       12    0.036    0.003    0.106    0.009 persistence.py:27(_reduce_integer_columns)
        9    0.001    0.000    0.099    0.011 laplacian.py:522(persistent_laplacian)
       12    0.013    0.001    0.097    0.008 laplacian.py:456(_boundary)
        3    0.000    0.000    0.082    0.027 __init__.py:19(homology)
        3    0.000    0.000    0.082    0.027 interaction.py:91(homology)
    18162    0.043    0.000    0.072    0.000 interaction.py:153(signed_boundary_entries)
    19352    0.032    0.000    0.050    0.000 interaction.py:111(boundary_rows)
        1    0.000    0.000    0.027    0.027 __init__.py:23(persistence)
   165170    0.017    0.000    0.017    0.000 {method 'get' of 'mappingproxy' objects}
   203944    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
    37526    0.009    0.000    0.012    0.000 {built-in method builtins.sorted}
        9    0.000    0.000    0.009    0.001 _interface.py:307(matmat)
        9    0.000    0.000    0.009    0.001 _interface.py:586(_matmat)
        9    0.001    0.000    0.009    0.001 laplacian.py:178(_apply)
   150492    0.009    0.000    0.009    0.000 {method 'bit_length' of 'int' objects}
       24    0.000    0.000    0.008    0.000 _base.py:691(__matmul__)
       24    0.000    0.000    0.008    0.000 _base.py:568(_matmul_dispatch)
       24    0.000    0.000    0.008    0.000 _compressed.py:495(_matmul_multivector)
   115410    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
        9    0.000    0.000    0.006    0.001 numeric.py:2170(allclose)
        9    0.000    0.000    0.006    0.001 numeric.py:2249(isclose)
    68968    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
        9    0.004    0.000    0.005    0.001 numeric.py:2330(within_tol)
    94486    0.005    0.000    0.005    0.000 {built-in method builtins.len}
    73790    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}


